id	parent_id
2890558	2914763
2903311	2914763
2905709	2914763
2905113	2914763
8330967	8330977
2894158	8330967
2911076	8330967
2914320	8330967
2905786	8330967
7498907	8330977
2889787	7498907
2917787	7498907
2896005	7498907
2903009	7498907
2917092	7498907
2913785	7498907
2916196	7498907
7498903	7498907
2917281	7498907
2891119	8330977
2899597	2891119
8194807	8330979
8194806	8194807
8194784	8194806
2914570	8194784
2889238	8194784
2915027	8194784
2919685	8194784
2900951	8194784
2907266	8194784
2916443	8194784
2916183	8194784
2887963	8194784
2916794	8194784
2900318	8194784
2896452	8194784
2898988	8194784
2910120	8194784
2911326	8194784
2902308	8194784
2898236	8194784
51344522	51344521
51344525	51344522
51311005	51344525
51311004	51311005
2889266	51311004
2918138	2889266
2895967	2889266
6903559	51311004
2909297	6903559
2916305	6903559
2916301	6903559
2896596	6903559
2895645	6903559
2915159	6903559
2904744	6903559
2915895	6903559
2914899	6903559
2900677	6903559
2899772	6903559
2906611	6903559
2892933	6903559
6903141	6903559
2902484	6903559
2911359	6903559
2909195	6903559
2900001	6903559
2899213	6903559
2889060	6903559
2888416	51311004
2894538	2888416
2899354	51311004
2889364	2899354
2889827	2899354
2902985	51311004
2912087	2902985
2891767	51311004
2899279	2891767
2902178	51311004
2914659	2902178
8421431	51311004
2914809	8421431
2887264	8421431
2897226	8421431
2912609	8421431
2891466	2912609
2917389	2912609
2919759	2912609
2890678	2919759
2898650	2919759
51311003	51311004
51266773	51311003
2890542	51311003
51266780	51311003
2887616	51311003
2897520	51311004
2919362	2897520
2891447	51311004
2901195	2891447
2890663	51311004
2888419	2890663
2908826	51311004
2919008	2908826
2898269	2908826
2912960	2908826
2899019	2908826
2889561	2908826
2914007	51311004
2908273	2914007
6923915	51311004
6923911	6923915
2894714	6923915
2905041	6923915
2902238	51311004
2914038	2902238
2904239	51311004
2899897	2904239
2907423	51311004
2898925	2907423
2900489	51311004
2906302	2900489
2919274	51311004
2890530	2919274
8421440	51311004
6904459	8421440
2898948	51311004
2893559	2898948
2901796	2898948
2914982	51311004
2897500	2914982
2894071	2897500
2906420	2897500
51310349	51311004
2890630	51310349
2898329	51310349
2895531	51310349
8708432	51311004
2891140	8708432
2910213	8708432
2919764	8708432
2907131	8708432
2903038	8708432
2908719	8708432
2910560	8708432
2903113	8708432
2899692	8708432
2893122	2899692
2889595	2899692
2920204	2899692
2919885	8708432
2899534	8708432
2886931	8708432
2892274	8708432
2920783	8708432
4331884	8708432
2911615	51311004
2889196	2911615
2902685	2889196
2919513	51311004
2913766	2919513
8278593	51311004
2915480	8278593
2919614	8278593
6904884	8278593
2893411	51311004
2888370	2893411
2894727	51311004
2898345	2894727
6911647	51311004
2896189	6911647
6911643	6911647
2908820	6911647
2896681	51311004
2895641	2896681
2917789	51311004
2918902	2917789
2901670	2917789
2893881	51311004
2896077	2893881
2911164	2893881
2902154	2893881
2896791	2893881
2901918	2893881
2900612	2893881
2920088	2893881
2904336	51311004
2903030	2904336
2915417	2904336
2920973	51311004
2908528	2920973
2895801	2908528
2890977	51311004
2892132	2890977
2894633	2890977
2893268	51311004
2902896	2893268
2892705	51311004
2891346	2892705
2912680	2892705
2890982	2892705
2913658	2892705
2889667	2892705
2916719	2892705
2904191	2892705
2894870	2892705
2903788	2892705
2909973	2892705
2907543	2892705
2898821	2907543
2920135	2907543
2896233	2892705
2896725	2892705
2904361	2892705
2913313	2892705
2887860	2892705
2891369	2892705
2895508	2892705
2899643	2892705
2920196	2892705
2886292	2892705
2912748	2892705
2916182	2892705
2917946	2892705
2892526	2892705
2920858	2892705
2914640	2892705
2889493	2892705
2914701	2892705
2898400	51311004
2920602	2898400
2893998	51311004
2903963	2893998
2916531	51311004
2897947	2916531
2894224	51311004
2906116	2894224
2896773	2894224
51266787	51311004
2910094	51266787
2910279	51266787
2895938	51266787
2886425	51266787
2888439	51266787
2916223	51266787
2903638	51266787
2894397	51266787
6911205	51266787
2891130	51266787
2907525	51266787
2904979	51266787
2909230	51266787
2898254	51266787
2904223	51266787
2916022	51266787
2900358	51266787
2902245	51266787
2899416	51266787
2892813	51266787
51266791	51266787
51311013	51311005
2905506	51311013
2899967	2905506
6923469	51311013
6918926	6923469
2911958	6918926
2918349	6918926
2921280	6923469
2911123	6923469
2906799	6923469
2903877	6923469
2896847	6923469
2886054	6923469
2906742	6923469
2894103	6923469
2918387	6923469
2890395	6923469
2900008	6923469
2895901	2900008
2891532	6923469
2902551	6923469
2901325	6923469
2903101	2901325
2895186	2901325
2913343	6923469
2920331	6923469
2892627	6923469
6919685	6923469
6920815	6923469
4336697	6923469
2914107	6923469
6921574	6923469
2895923	6923469
2891065	6923469
6922341	6923469
6923503	6923469
2918080	6923469
2887481	6923469
2920240	51311013
2889377	2920240
2908745	51311013
2891429	2908745
51311014	51311013
2906039	51311014
2913361	51311014
2897882	51311014
2897655	51311014
2919130	51311014
2894173	51311014
2907045	51311014
2918331	51311014
2912286	51311014
6925143	51311014
2908930	51311014
2905114	51311014
2917901	51311014
2889365	51311014
2917806	51311014
2891252	51311014
2914728	51311014
2887633	51311014
2898015	51311014
2909154	51311014
2917788	51311014
2897592	51311014
2889714	51311014
2913155	51311014
2892139	51311014
2908842	51311014
2892492	51311014
2920664	51311014
2915098	51311014
2890317	2915098
2921045	2915098
51300223	51311014
2900775	51311014
2909014	51311014
51311012	51311014
2903665	51311014
2898261	51311014
2918489	51311014
2905938	51311014
2903279	51311014
2915631	51311014
2911870	51311014
2893323	51311014
2910820	51311014
2899542	51311014
2890311	51311014
2917531	51311014
2904599	51311014
6925621	51311014
2899101	51311014
2915078	51311014
2892670	51311014
2915905	51311014
2894412	51311014
2904119	51311014
2908689	51311014
51310363	51311014
2920063	51311014
2909745	51311014
2903635	51311013
2897015	2903635
2909210	2903635
2892251	51311013
2889842	2892251
2915201	2892251
2914193	51311013
2900685	2914193
51292784	51311013
7223338	51292784
2907834	51292784
2919514	51292784
51292783	51292784
2906736	51292784
2893116	51292784
2910958	51292784
2886406	51292784
2902096	51292784
2889826	51292784
2897021	51292784
2912860	2897021
2897497	2897021
2904269	2897021
2898751	51292784
2915464	51292784
6926860	51292784
2915116	51292784
6927686	51292784
2891482	51311013
2892633	2891482
2899155	51311013
2919723	2899155
2908602	2899155
2902368	2899155
2902923	2899155
2899884	51311013
2902053	2899884
51266839	51311013
2889323	51266839
2920497	2889323
2910450	2889323
2904479	51266839
2888520	51266839
2899074	2888520
2897763	2888520
2905406	51266839
2914885	51266839
2886346	51266839
2919426	2886346
2899693	2886346
2901623	51266839
2890509	2901623
